item	total	count part-1	specif part-1	count part-2	specif part-2
정도로	47	20	1.29	27	-1.29
언어입니다	46	23	2.07	23	-2.07
23	46	10	-1.53	36	1.53
최근	46	7	-2.52	39	2.52
도	46	22	1.79	24	-1.79
자신의	46	18	1.06	28	-1.06
개요	46	9	-1.80	37	1.80
대	46	24	2.38	22	-2.38
개발	46	15	0.91	31	0.91
다음	45	11	-1.25	34	1.25
있기	45	20	1.42	25	-1.42
27	45	10	-1.46	35	1.46
이상	45	19	1.24	26	-1.24
개념	45	19	1.24	26	-1.24
언어학의	45	25	2.90	20	-2.90
기준	45	17	0.99	28	-0.99
사용자	45	16	0.93	29	-0.93
인구	44	14	-0.91	30	0.91
러시아	44	15	0.90	29	0.90
중요한	44	21	1.73	23	-1.73
이론	44	17	1.02	27	-1.02
등으로	44	17	1.02	27	-1.02
a	44	5	-3.27	39	3.27
어휘	44	19	1.30	25	-1.30
보니	44	22	2.01	22	-2.01
사실상	44	19	1.30	25	-1.30
IT	44	2	-5.44	42	5.44
94	44	3	-4.59	41	4.59
00	44	0	-7.82	44	7.82
세	43	15	0.90	28	-0.90
시	43	22	2.13	21	-2.13
45	43	3	-4.44	40	4.44
관리	43	10	-1.32	33	1.32
배울	43	21	1.84	22	-1.84
다시	43	14	0.89	29	0.89
함수	43	10	-1.32	33	1.32
줄	43	21	1.84	22	-1.84
단	43	16	0.96	27	-0.96
고대	43	21	1.84	22	-1.84
해도	43	16	0.96	27	-0.96
L	43	2	-5.28	41	5.28
불규칙	43	17	1.05	26	-1.05
방언이	43	18	1.19	25	-1.19
d	43	1	-6.31	42	6.31
22	42	9	-1.48	33	1.48
26	42	11	-1.09	31	1.09
구사하는	42	21	1.95	21	-1.95
본	42	19	1.44	23	-1.44
수가	42	22	2.27	20	-2.27
방언의	42	19	1.44	23	-1.44
보통	42	20	1.68	22	-1.68
표준어와	42	21	1.95	21	-1.95
학문	42	20	1.68	22	-1.68
그런	42	18	1.25	24	-1.25
발음을	42	15	0.91	27	-0.91
발음이	42	17	1.09	25	-1.09
심지어	42	16	0.98	26	-0.98
Python	42	14	0.89	28	0.89
조선	42	31	7.01	11	-7.01
있었다	41	19	1.52	22	-1.52
차이를	41	20	1.78	21	-1.78
is	41	3	-4.15	38	4.15
관계	41	16	1.01	25	-1.01
하면	41	16	1.01	25	-1.01
특징	41	18	1.31	23	-1.31
지향	41	19	1.52	22	-1.52
상세	41	18	1.31	23	-1.31
사람들은	41	17	1.14	24	-1.14
어려운	41	15	0.93	26	-0.93
한자	41	14	0.89	27	0.89
처럼	40	17	1.19	23	-1.19
발음	40	20	1.89	20	-1.89
단어가	40	17	1.19	23	-1.19
지	40	36	12.81	4	-12.81
그대로	40	17	1.19	23	-1.19
language	40	13	0.88	27	0.88
경우는	40	18	1.38	22	-1.38
예	40	13	0.88	27	0.88
하지	40	14	0.89	26	-0.89
정적	40	20	1.89	20	-1.89
러시아어	40	13	0.88	27	0.88
보고	39	18	1.47	21	-1.47
수는	39	17	1.26	22	-1.26
인류의	39	19	1.72	20	-1.72
되지	39	19	1.72	20	-1.72
쉬운	39	18	1.47	21	-1.47
단순히	39	18	1.47	21	-1.47
오히려	39	16	1.09	23	-1.09
자신이	39	15	0.97	24	-0.97
외국인	39	14	0.90	25	-0.90
되어	38	23	3.37	15	-3.37
합니다	38	12	-0.87	26	0.87
포르투갈어	38	11	-0.93	27	0.93
후	38	11	-0.93	27	0.93
언어들이	38	19	1.83	19	-1.83
svg	38	2	-4.50	36	4.50
https	38	9	-1.21	29	1.21
사람은	38	16	1.14	22	-1.14
B	38	13	0.87	25	0.87
변화	38	16	1.14	22	-1.14
보인다	38	15	1.01	23	-1.01
반대로	38	16	1.14	22	-1.14
상위	38	19	1.83	19	-1.83
기자	38	4	-3.07	34	3.07
구사할	38	17	1.33	21	-1.33
이라는	38	13	0.87	25	0.87
반면	38	16	1.14	22	-1.14
여기서	38	16	1.14	22	-1.14
몇	38	18	1.56	20	-1.56
따른	38	17	1.33	21	-1.33
위해서는	38	17	1.33	21	-1.33
글	38	26	5.02	12	-5.02
외래어	38	13	0.87	25	0.87
TV	38	8	-1.43	30	1.43
표준어가	38	19	1.83	19	-1.83
공용어가	38	19	1.83	19	-1.83
경제	38	2	-4.50	36	4.50
v	38	2	-4.50	36	4.50
www	38	4	-3.07	34	3.07
by	38	0	-6.76	38	6.76
세계에서	37	17	1.41	20	-1.41
그런데	37	16	1.20	21	-1.20
프랑스	37	10	-1.00	27	1.00
29	37	9	-1.15	28	1.15
2000	37	16	1.20	21	-1.20
소리	37	26	5.34	11	-5.34
String	37	2	-4.35	35	4.35
문법이	37	17	1.41	20	-1.41
JavaScript	37	1	-5.31	36	5.31
더욱	37	16	1.20	21	-1.20
어미	37	14	0.94	23	-0.94
의사소통이	37	18	1.66	19	-1.66
이탈리아어	37	11	-0.90	26	0.90
블로그	37	1	-5.31	36	5.31
사용하고	36	17	1.50	19	-1.50
게임	36	14	0.96	22	-0.96
기술	36	8	-1.29	28	1.29
가까운	36	15	1.09	21	-1.09
하나	36	19	2.09	17	-2.09
뉴스	36	5	-2.30	31	2.30
문제	36	9	-1.09	27	1.09
미	36	34	13.67	2	-13.67
천만	36	11	-0.88	25	0.88
원시	36	16	1.27	20	-1.27
언어학을	36	18	1.77	18	-1.77
왜	36	13	0.88	23	-0.88
보는	36	17	1.50	19	-1.50
자연스럽게	36	12	0.85	24	0.85
28	36	8	-1.29	28	1.29
맞춤법	36	16	1.27	20	-1.27
했다	36	16	1.27	20	-1.27
NC	36	0	-6.40	36	6.40
My	36	0	-6.40	36	6.40
NTcuNiw	36	0	-6.40	36	6.40
지역에서	35	16	1.35	19	-1.35
영어가	35	16	1.35	19	-1.35
미국의	35	15	1.15	20	-1.15
주요	35	13	0.90	22	-0.90
이미	35	12	0.85	23	0.85
기능을	35	13	0.90	22	-0.90
기본	35	9	-1.04	26	1.04
표현을	35	13	0.90	22	-0.90
지식	35	7	-1.47	28	1.47
나라의	35	17	1.60	18	-1.60
둘	35	16	1.35	19	-1.35
관한	35	14	1.00	21	-1.00
근대	35	18	1.89	17	-1.89
문법을	35	17	1.60	18	-1.60
문장	35	16	1.35	19	-1.35
여기에	35	15	1.15	20	-1.15
표기	35	14	1.00	21	-1.00
참고하십시오	35	5	-2.19	30	2.19
독일	35	17	1.60	18	-1.60
교양	35	9	-1.04	26	1.04
정치	35	0	-6.22	35	6.22
prospects	35	0	-6.22	35	6.22
아메리카	34	16	1.44	18	-1.44
대부분	34	13	0.92	21	-0.92
영국	34	12	0.86	22	-0.86
만든	34	16	1.44	18	-1.44
하며	34	16	1.44	18	-1.44
아래	34	10	-0.89	24	0.89
대상으로	34	17	1.71	17	-1.71
여전히	34	14	1.04	20	-1.04
가능성이	34	11	0.84	23	0.84
특수	34	13	0.92	21	-0.92
HTML	34	14	1.04	20	-1.04
컴파일	34	17	1.71	17	-1.71
한국어로	34	17	1.71	17	-1.71
스포츠	34	1	-4.81	33	4.81
logo	34	2	-3.89	32	3.89
일반적으로	33	15	1.29	18	-1.29
24	33	7	-1.31	26	1.31
대부분의	33	14	1.10	19	-1.10
